id,concepts,intents,questionparentid,name,answer,
id,docker,application,c:10,how many containers can run per host?,"as far as the number of containers that can be run, this really depends on your environment. ",
d:2,docker,application,c:10,what do i have to do to begin the “dockerization process”?,"the best way for your team to get started is for your developers to download docker for mac or docker windows. these are native installations of docker on a mac or windows device.
",
d:3,docker,application,c:10,what os can the docker engine run on?,the docker engine runs on all modern linux distributions.,
d:4,docker,analysis,c:10,can i use json instead of yaml for my compose file in docker?how to run json,"yes, you can very comfortably use json instead of the default yaml for your docker compose file.docker-compose -f docker-compose.json up",
d:5,docker,knowledge,c:10,do i lose my data when the docker container exits?,there is no loss of data when any of your docker containers exits as any of the data that your application writes to the disk in order to preserve it,
d:6,docker,knowledge,c:10,is there a way to identify the status of a docker container?,‘docker ps –a’,
d:7,docker,application,c:10,what is the preferred way of removing containers,docker stop,
d:8,docker,application,c:10,what platforms does docker run on?,all linux platform,
d:9,docker,application,c:10,how to remove all the images in docker?,docker system prune,
d:10,docker,analysis,c:10,why is debian_frontend=noninteractive discouraged in dockerfiles?,env debian_frontend=noninteractive,
d:11,docker,application,c:10,"docker, what is it and what is the purpose",its primary focus is to automate the deployment of applications inside software containers and the automation of operating system level virtualization on linux,
d:12,docker,knowledge,c:10,is it docker daemen communicate with only api?, a daemon can also communicate with other daemons to manage docker services.,
d:13,docker,analysis,c:10,can i use docker without object?,"no,when you use docker, you are creating and using images, containers, networks, volumes, plugins, and other objects.",
d:14,docker,application,c:10,how to create docker container?,docker run -t -i command name,
d:15,docker,application,c:10, how to stop  the docker container?,docker stop container id,
d:16,docker,application,c:10,how to restart the docker container?,docker restart container id,
d:17,docker,knowledge,c:10,is container technology new?,"no, it is not. different variations of containers technology were out there in *nix world for a long time.examples are:-solaris container ",
d:18,docker,application,c:4,how do i run multiple copies of a compose file on the same host?," to run multiple copies of a project, set a custom project name using the -p command line option or thecompose_project_name environment variable.",
d:19,mongo,application,c:4,how do you query for “is not null” in mongo?,"one liner is the best : db.mycollection.find({ 'fieldname' : { $exists: true, $ne: null } });",
d:20,mongo,application,c:4,what are the file write operations in mongo script?,"you could use print and then redirect output: script.js: cursor = db.users.find();  while(cursor.hasnext()){  printjson(cursor.next());  } then run the script and redirect output to a file: mongo --quiet script.js > result.txt
",
d:21,mongo,application,c:4,what should i do mongo crashes when i call “mongo” in terminal,turns out the system had run out of memory. after shutting down a few other applications i was able to get it up and running again. i hope if someone runs into the same problem that this helps.,
d:22,mongo,analysis,c:4,error during mongo startup,"28017 is the default port for the http admin interface, so if your config is allowing http, you should use a web browser to access it http://127.0.0.1:28017/ you're trying to use mongo shell to access http service",
d:23,mongo,analysis,c:4,error in connecting to mongo db through mongo-connector," add -v to the end of the command to improve the verbosity, and u will see more longs that can help you recognizing the issuewhat you can do also is open another bash instance and display logs in the console as they come from mongo-connecter with this command, tail -f oplog.timestamp",
d:24,mongo,analysis,c:4,error in uninstalling mongo,"1.stop mongo db using - sudo service mongod stop  2.remove packages using - sudo yum erase $(rpm -qa | grep mongodb-org)  3.remove data directories using - sudo rm -r /var/log/mongodb  sudo rm -r /var/lib/mongo
",
d:25,mongo,analysis,c:4,"cannot authenticate into mongo, “auth fails”",you have to connect to the database holding the credentials first. try: mongo admin -u admin -p secretpassword,
d:26,mongo,analysis,c:4,mongo - couldn't connect to server 127.0.0.1:27017,"this error is what you would see if the mongo shell was not able to talk to the mongod server. this could be because the address was wrong (host or ip) or that it was not running. one thing to note is the log trace provided does not cover the ""fri nov 9 16:44:06"" of your mongo timestamp. can you: provide the command line arguments (if any) used to start your mongod process. provide the log file activity from the mongod startup as well as logs during the mongo shell startup attempt? confirm that your mongod process is being started on the same machine as the mongo shell?
",
d:27,mongo,application,c:4,how do i drop a mongodb database from the command line?,the best way to do it is from the mongodb console:     use mydb,    db.dropdatabase()
d:28,mongo,application,c:4,how to list all collections in the mongo shell? ,you can do... js (shell): db.getcollectionnames() node.js: db.listcollections() non-js (shell only): show collection,
d:29,maven,application,c:7,how do i stop my top level properties being inherited in subprojects?,"
this is a result of using the same project file at the top level of your multiple project structure as the master build (ie, where you run your multiproject goals from) and the root of your project inheritence tree.",
d:30,maven,application,c:7, how do i make my build complete even with broken tests?,maven.test.skip and maven.test.failure.ignore,
d:31,maven,comprehension,c:7,where does the output from my junit tests go?,"if you are running test:test, the exceptions will usually be output to ./target/test-reports/some.package.someclasstest.txt. if you want to see the errors in the output, set the property maven.junit.usefile to false",
d:32,maven,application,c:7,how do i disable a report on my site?,"
the preferred way is to specify your own <reports/> section in the pom. reports are not inherited from parent projects, so only those included will be used. ",
d:33,maven,application,c:7,how do i use maven with xdoclet?,the xdoclet plugin is provided by the xdoclet developers. all questions about it should be directed to the xdoclet mailing lists.,
d:34,maven,knowledge,c:7,maven takes a long time to load. is there anyway to speed things up?,the short answer is yes. maven 2 will have a transitive dependency discovery mechanism that will avoid this.,
d:35,maven,application,c:7,how do i provide multiple source directories in my project.xml?,"you can't. however, if you really need it, you can use a snippet in maven.xml.",
d:36,maven,application,c:7,how can i customise the configuration for an entire installation?,currently you can only configure settings at a project and per-user level. there are no site-wise configuration settings available.,
d:37,maven,analysis,c:7,why shouldn't i use the dependency classloader override property?,"because in most cases it isn't needed. root.maven is equivalent to the project classloader, so is never needed. while root is the ant classloader and has some valid uses, you should not load tasks into it unless absolutely necessary as it will then force itself on the other plugins executed afterwards. in particular any jakarta-commons libraries should not be in the root classloader as these can clash with jelly.",
d:38,maven,application,c:7,how do i add a jar from a non-maven project to my local repository?,"if it is a jar that cannot be uploaded to maven's central repository because of a license, or it is private, you must manually copy it to your local repository. after picking a sensible group id, and making sure the filename is in the format artifactid-version.jar, copy it to ${maven.repo.local}/groupid/jars/artifactid-version.jar",
d:39,sql,analysis,c:6,why does query take long time than usual processing,"this issue may occur due to resource contention from locking. the issue arises when a new process is getting added to your computer system, or the system load gets increased.you can resolve the issue by fixing this problem via query analyzer and sp_who2 command. you can check blkby field in the results of a command which shows offending spid numbers as a result if they are already blocked. you can follow a large chain of blocks to find out head. you can also use dbcc inputbuffer command to display sql statement that spid is running. to do this, you might be able to find out the cause and resolution of this problem.",
d:40,sql,application,c:6,how do i rectitfy database may face out of space error,"it happened several times you receive messages that the database is running out of space. there might be two reasons behind the occurrence of this issue, firstly, physical drive that stores the database, or the transaction log file out of space. to fix this issue, test the disk for any file that is growing rapidly or some other issues. secondly, database or the transaction log file contains maximum size. to solve this case, you need to increase the limit to permit the database operation. the other reason that takes place when tempdb log is full.

to overcome this problem, restart ms sql service and it will recreate the tempdb from scratch. keep in mind that tempdb file has a maximum size and increase the file size if necessary to avoid this kind of issue.",
d:41,sql,analysis,c:6,why does client loses connection to the sql server,"sql server connection issue is not very common but, if it occurs, then it usually blocks the spid to hold a lock on the resource while waiting for timeout. this is the major issue in sql client running the previous version of microsoft access.

to troubleshoot this problem, use sp_who2 and kill commands to delete the orphaned process from sql server. another way to fix this issue is that decrease client connection timeout, this will lead server to kill the orphaned processes quickly and easily.",
d:42,sql,analysis,c:6, why does the complete system goes to a deadlock state,"if you are getting the error message that says “you are in deadlock state” and the system that suffered from deadlocking. so, the system is entering in a deadlock state when two or more queries in sql, each locking resources and none of them is finished. when deadlock state issue gets resolved sql log file will report the situation. moreover, sql server log is the best place to verify whether the issue has been resolved or not

one of the simplest methods to solve problem is turning on trace flag-t1204, it will provide the complete information in the log. you will have to determine the contention level on the server.",
d:43,sql,application,c:6,how to compress sql files?,"if the software is telling you that the sql file is compressed or you are unable to attach your sql file to the sql service, you will want to check and see if your sql files are compressed. the steps below will show you how to check whether your sql files are compressed.  
open file explorer.
navigate to ""my computer"", ""os (c:)"", ""programfiles(x86)"", ""microsoft sql server"", and locate the folder that contains your sql files.
right-click your sql server folder and select ""properties"".
click the ""advanced"" button.
verify that the check box next to ""compress contents to save disk space"" is blank. if the box is checked, click on it to remove check mark. click ""ok"" to save your settings. 
back in the myovision software, open the setup menu and select ""database""
click the ""testdb"" button to test your sql server.",
d:44,sql,application,c:6,what does sql server error 800040e104 mean?,"if you are receiving the ""sql server error 800040e104"" the software is attempting to create a ""daily backup"" file, but being blocked. typically this is because a folder necessary to create the backup is not set up to give access to the folder.",
d:45,sql,application,c:6,what does sql error code 10 mean?,"if you are receiving the sql error code 10, you will want to check that your sql service is installed an that it' s running. 

",
d:46,sql,analysis,c:6,why does sql error code 20 mean?,this error code is an indication that myovision software cannot communicate with the database. you may have to change user permissions or sql server permissions.,
d:47,sql,application,c:6,what is database corruption in sql server.,"database corruption in sql is related to the inappropriate storage of actual zeroes and ones, which are required to save your database on-disk or in the i/o subsystem stage. in this sense, the corruption addressed in this post is unlike other “disasters” that render the business data futile. these corruptions ultimately cause different problems and create different hurdles ",
d:48,sql,application,c:6,what does sql error 5172 mean?,"the sql server saves its physical database in a primary file that has data as per the pages. the first page holds the information of the mdf file header, which is called a header page. it consists of various information about the database such as the size of the file, signature, etc. during the process of attaching the mdf in sql server, a frequent error encountered by users is error 5172. this generally occurs when the mdf file becomes unhealthy or damaged. once this error occurs, the information of the header file has already been mismatched, making it difficult to access the data.",
d:49,sql,application,c:6,what does sql fatal 823 error mean?,"sql users use windows apis for the execution of i/o operations. upon the completion of i/o operations, sql verifies for any error associated with the api calls. if these api calls are incompatible with the operating system, error 823 occurs in sql server.the error 823 message signifies that there is an issue with the underlying storage machine hardware or a driver that is in the path of i/o request. users may face this error when there are contradictions in the file system or if the database file is corrupted.",
d:50,sql,analysis,c:6,why there is an data mismatch in field assignment procedures?,"when you declare your table columns, you must give each column a data type. make sure this data type covers all necessary values you need to store. once you define a data type, you can only store that type of value in the column.
for instance, you probably need decimal precision by 2-3 points in a column that stores a total order cost. if you assign this column as an integer, your database will only be able to store whole numbers with no decimal values. what happens with the decimals depends on your database platform. it could automatically truncate the values or give you an error. either alternative could create a major bug in your application. always account for what you need to store when you design your tables.
this includes writing queries—when you write your queries and pass parameter values to a stored procedure, the variable must be declared with the right data type. variables that don’t represent the column data type will also throw errors or truncate data in the process.",
d:51,jdk,application,c:11,how do i install jdk on macos,"1.download the jdk .dmg file, jdk-10.interim.update.patch-macosx-x64.dmg. before the file can be downloaded, you must accept the license agreement. 2.from either the browser downloads window or from the file browser, double-click the .dmg file to start it. 3.a finder window appears that contains an icon of an open box and the name of the .pkg file. 4.double-click the jdk 10.pkg icon to start the installation application.5.the installation application displays the introduction window. 6.click continue. the installation type window appears. 7.click install. 8.a window appears that displays the message: installer is trying to install new software. enter your password to allow this. 10.enter the administrator user name and password and click install software. the software is installed and a confirmation window is displayed.
",
d:52,jdk,analysis,c:11,can i install same jdk version two times in my machine?,"yes, you can have multiple jre installed on the same machine on the same o/s. and you can have one project configured with one version of java compiler on your ide",
d:53,jdk,application,c:11,how do i know if jdk is installed?,"1) go to control panel-->program and features and check if java /jdk is listed there. 2) open command prompt and type java -version. if you get the version info, java is installed correctly and path is also set correctly. 3) go to start menu-->system-->advanced-->environment variables.",
d:54,jdk,application,c:11,how do i set java_home?,"1)right click my computer and select properties. 2)on the advanced tab, select environment variables, and then edit java_home to point to where the jdk software is located, for example, c:\program files\java\jdk1.6.0_02.
",
d:55,jdk,application,c:11,how do i check my jdk version?,"1)open the control panel. 2)click system. 3)click advanced system settings. 4)when the system properties box appears, click environment variables. 5)in the system variables box, select path and click edit. 6)enter the path to your java installation in the variable value field. ... 7)click ok on each open dialog box. ",
d:56,jdk,application,c:11,how do i update my jdk?,1)launch the java control panel by clicking the java icon under system preferences. 2)go to the update tab in java control panel and click on update now button that brings up installer window. 3)click on install update. 4)click on install and relaunch.,
d:57,jdk,comprehension,c:11,where is jdk installed?,"1)right click my computer and select properties. 2)on the advanced tab, select environment variables, and then edit java_home to point to where the jdk software is located, for example, c:\program files\java\jdk1.6.0_02.",
d:58,jdk,application,c:11,how the path is set for jdk?,"in windows vista or windows 7, go to ""advanced system settings"". else go to next step. go to 'advanced tab' and click on environment variables button. select 'path' under the list of 'system variables', and press edit and add c:\program files\java\jdk\bin after a semicolon.",
d:59,jdk,application,c:11,how do i know which jdk eclipse is using?,"open the menu item help > about eclipse . (on the mac, it's in the eclipse-menu, not the help-menu)click on installation details . switch to the tab configuration. search for a line that starts with -vm .",
d:60,jdk,application,c:11,how do i install java in terminal?,"1)open the terminal. you can find it on your dashboard, or in the accessories folder. ...2)update your sources. ...3)check if you have java installed already. ...4)install the java runtime environment (jre). ...5)install the""icedtea"" java plugin. ...6)select which version of java you want to use. ...7)install oracle java 8 (optional",
d:61,jdk,application,c:11,how do i know if java is installed on ubuntu?,"1.open a linux terminal (command prompt).2.enter the command java -version. if java is installed on your ubuntu 16.04 lts system, you will see a java version installed in response. the second way of finding javaversion is using which command. open the terminal and give the following which command.",
d:62,jdk,application,c:11,how to set jdk environment path in ubuntu?,window > preferences > java > installed jres...click add find the directory of your jdk > click ok,
d:63,jdk,application,c:11,how do i install latest java on ubuntu?,"add the ppa. open terminal (ctrl+alt+t) and run the command: ...update and install the installer script: run commands to update system package index and install java installer script: ...check the java version. to check the java version after installing the package, run command: ...set java environment variables.",
d:64,jdk,application,c:11,how do i completely remove jdk from ubuntu?,"remove the link. first of all remove the alternatives by executing the following commands: $ sudo update-alternatives --remove ""java"" ""/usr/lib/jvm/jdk[version]/bin/java"" ...remove the package. after removing link, remove the package inside /usr/lib/jvm/jdk[version] by executing following command:",
d:65,jdk,application,c:11,how do i uninstall jdk in windows?,click start. select settings. select system. select apps & features. select the program to uninstall and then click its uninstall button. respond to the prompts to complete the uninstall.,
d:66,npm,analysis,c:12,npm throws error without sudo,"this looks like a permissions issue in your home directory. to reclaim ownership of the .npm directory execute:sudo chown -r $(whoami) ~/.npm
",
