identity,name,parentid,type,parentnodetype,weight,parentrelation
spring:8,list,spring:2,term,knowledge,8,indicatorof
spring:9,name,spring:2,term,knowledge,7,indicatorof
spring:10,recall,spring:2,term,knowledge,6,indicatorof
spring:11,record,spring:2,term,knowledge,7,indicatorof
spring:12,manage,spring:2,term,knowledge,2,counterindicatorof
spring:13,repeat,spring:2,term,knowledge,7,indicatorof
spring:14,state,spring:2,term,knowledge,9,indicatorof
spring:15,tell,spring:2,term,knowledge,8,indicatorof
spring:16,define,spring:2,term,knowledge,9,indicatorof
spring:17,duplicate,spring:2,term,knowledge,5,indicatorof
spring:18,label,spring:2,term,knowledge,7,indicatorof
spring:19,reply,spring:2,term,knowledge,5,indicatorof
spring:20,match,spring:2,term,knowledge,6,indicatorof
spring:21,memorize,spring:2,term,knowledge,7,indicatorof
spring:22,fundamental,spring:2,term,knowledge,6,indicatorof
spring:23,order,spring:2,term,knowledge,8,indicatorof
spring:24,outline,spring:2,term,knowledge,8,indicatorof
spring:25,recognize,spring:2,term,knowledge,3,counterindicatorof
spring:26,count,spring:2,term,knowledge,8,indicatorof
spring:27,describe,spring:2,term,knowledge,9,indicatorof
spring:28,enumerate,spring:2,term,knowledge,9,indicatorof
spring:29,find,spring:2,term,knowledge,9,indicatorof
spring:30,quote,spring:2,term,knowledge,9,indicatorof
spring:31,read,spring:2,term,knowledge,8,indicatorof
spring:32,select,spring:2,term,knowledge,5,counterindicatorof
spring:33,recite,spring:2,term,knowledge,8,indicatorof
spring:34,reproduce,spring:2,term,knowledge,7,indicatorof
spring:35,sequence,spring:2,term,knowledge,6,indicatorof
spring:36,state,spring:2,term,knowledge,9,indicatorof
spring:37,view,spring:2,term,knowledge,8,indicatorof
spring:38,write,spring:2,term,knowledge,5,counterindicatorof
spring:39,locate,spring:2,term,knowledge,6,indicatorof
spring:40,identify,spring:2,term,knowledge,3,counterindicatorof
spring:41,tell,spring:2,term,knowledge,5,counterindicatorof
spring:42,compare,spring:3,term,comprehension,8,indicatorof
spring:43,describe,spring:3,term,comprehension,5,counterindicatorof
spring:44,discuss,spring:3,term,comprehension,7,indicatorof
spring:45,explain,spring:3,term,comprehension,8,indicatorof
spring:46,express,spring:3,term,comprehension,8,indicatorof
spring:47,identify,spring:3,term,comprehension,7,indicatorof
spring:48,reconize,spring:3,term,comprehension,8,indicatorof
spring:49,restate,spring:3,term,comprehension,9,indicatorof
spring:50,tell,spring:3,term,comprehension,8,indicatorof
spring:51,translate,spring:3,term,comprehension,8,indicatorof
